sID,trialNumber,response_times,correct_order,click_order,response_correct
9,11,"[1.181912299999567, 1.7819650999999794, 2.6151578999997582, 3.331995900000038, 4.132274399999915]","[7, 7, 3, 4, 7]","[7, 7, 3, 4, 7]",True
9,12,"[1.1154333000004044, 1.6985512000001108, 2.3652173999998922, 3.4813827000007223, 4.115043300000252]","[8, 8, 1, 0, 4]","[8, 8, 1, 0, 4]",True
9,13,"[1.0984817999997176, 3.11488830000053, 4.031717099999696, 5.015160400000241, 5.932394399999794, 6.781429599999683]","[2, 3, 6, 4, 8, 0]","[2, 3, 6, 4, 8, 0]",True
9,14,"[1.0484786999995777, 1.8323707999998078, 2.4817117000002327, 3.2986028999994232, 3.964668200000233, 4.59853750000002]","[8, 2, 3, 7, 0, 5]","[2, 8, 3, 7, 0, 5]",False
9,15,"[0.9155884000001606, 1.7146017000004576, 2.4148182999997516, 3.2485513999999966, 3.9317590000000564, 4.59838740000032]","[7, 0, 2, 4, 3, 3]","[7, 0, 2, 4, 3, 3]",True
9,16,"[0.7321088000007876, 1.5148182000002635, 2.381779400000596, 3.2484909000004336, 4.031666700000642, 4.815123700000186, 5.565590800000791]","[5, 2, 3, 1, 6, 4, 8]","[5, 2, 3, 6, 1, 4, 8]",False
9,17,"[1.2151750000002721, 1.9486598000003141, 2.814308100000744, 3.531520100000307, 4.364694900000359, 5.215413600000829, 6.031700100000307]","[6, 6, 0, 6, 2, 7, 6]","[6, 6, 0, 6, 2, 7, 6]",True
9,18,"[2.131990200000473, 2.9820489000003363, 3.7481442999996943, 4.565397200000007, 5.63143940000009, 6.365399299999808, 7.265094700000191]","[5, 6, 2, 4, 1, 5, 5]","[5, 6, 2, 4, 1, 6, 5]",False
9,19,"[1.2986301000000822, 1.9489559000003283, 2.7985000999997283, 3.59831209999993, 4.381644299999607, 5.164949299999535, 5.948264200000267, 6.648489100000006]","[4, 8, 5, 1, 4, 1, 1, 3]","[4, 8, 5, 1, 4, 1, 1, 3]",True
9,20,"[1.2154626000001372, 1.9664769000000888, 2.9817455000002155, 3.7147666000000754, 4.531398000000081, 5.531737000000248, 6.514865199999804, 7.4812675000002855]","[6, 2, 3, 3, 2, 7, 2, 0]","[6, 2, 3, 3, 2, 7, 2, 0]",True
9,21,"[0.948704500000531, 1.8647047000004022, 2.5315285000006043, 3.1987521999999444, 3.8649100000002363, 4.781826200000069, 5.482200600000397, 6.332001800000398]","[8, 8, 6, 1, 2, 4, 7, 6]","[8, 1, 1, 6, 2, 4, 7, 6]",False
9,22,"[1.3816936000002897, 2.1983524000006582, 2.8986453000006804, 3.648465400000532, 4.216904500000055, 4.865112299999964, 5.714849900000445, 6.931320000000596, 7.648258700000042]","[4, 0, 3, 5, 0, 3, 4, 7, 3]","[4, 3, 5, 3, 0, 7, 3, 0, 3]",False
9,23,"[1.0649272999999084, 1.7815428999992946, 2.9485014000001684, 4.78199499999937, 5.682050899999922, 7.014461499999925, 8.730804599999828, 10.131456199999775, 11.280928199999835]","[1, 1, 0, 6, 8, 8, 1, 2, 1]","[1, 0, 6, 8, 8, 2, 0, 6, 1]",False
9,24,"[1.3495720000000802, 2.299735800000235, 3.115595000000212, 3.8484612000002016, 4.731763700000556, 5.814729300000181, 6.665466700000252, 7.498014800000419, 8.49858949999998]","[7, 0, 4, 6, 1, 8, 6, 1, 8]","[7, 0, 8, 4, 6, 1, 8, 1, 6]",False
13,1,"[1.0983581000000413, 1.9154192999994848]","[5, 6]","[5, 6]",True
13,2,"[0.7815554999997403, 1.2984025000005204]","[1, 3]","[1, 3]",True
13,3,"[0.7151494000008825, 1.2817212000009022]","[3, 3]","[3, 3]",True
13,4,"[0.898206100000607, 1.648263200000656, 2.2145553000009386]","[3, 0, 1]","[3, 0, 1]",True
13,5,"[0.816523600000437, 1.3148983999999473, 1.8151058000003104]","[4, 1, 6]","[4, 1, 6]",True
13,6,"[0.898363899999822, 1.615373399999953, 2.3151550000002317]","[5, 6, 4]","[5, 6, 4]",True
13,7,"[0.7819839000003412, 1.832119500000772, 2.5487922000011167, 3.148582300000271]","[5, 6, 7, 7]","[5, 6, 7, 7]",True
13,8,"[0.8652453000013338, 1.414939800000866, 2.2985755000008794, 2.931905600000391]","[5, 2, 6, 8]","[5, 2, 6, 8]",True
13,9,"[1.0985347999994701, 1.9485922000003484, 2.615180999999211, 3.2818578999995225]","[7, 5, 4, 5]","[7, 5, 4, 5]",True
13,10,"[0.848101300000053, 1.598516699999891, 2.198831900001096, 2.831314300001395, 3.4146627000009175]","[2, 7, 8, 2, 2]","[2, 7, 8, 2, 2]",True
13,11,"[1.331989500000418, 1.9315831999992952, 2.3497167000004993, 2.9979739999998856, 3.481232000000091]","[8, 7, 1, 2, 3]","[8, 7, 1, 2, 3]",True
13,12,"[1.048435700000482, 1.7975655999998708, 2.430877700000565, 4.080819000000702, 4.597920199999862]","[7, 1, 0, 0, 1]","[7, 1, 0, 0, 1]",True
13,13,"[0.6981109999996988, 1.465889099999913, 2.21501459999854, 3.0481900999984646, 3.7316230999986146, 4.231946399999288]","[2, 4, 5, 4, 5, 8]","[2, 4, 5, 4, 5, 8]",True
13,14,"[1.0313427000000956, 1.8816366999999445, 2.8487476000009337, 3.3153504000001703, 3.8832156999997096, 4.465218400000595]","[0, 4, 0, 8, 5, 6]","[0, 4, 8, 5, 8, 6]",False
13,15,"[0.8489346000005753, 1.515022300000055, 1.998385299999427, 2.7987802999996347, 3.7812640000011015, 4.364857099999426]","[7, 2, 2, 4, 0, 4]","[7, 2, 2, 4, 0, 4]",True
13,16,"[1.6478417000016634, 2.4150506000005407, 3.8316837000002124, 4.881782500000554, 6.598080000001573, 7.7477523000015935, 8.39794780000011]","[0, 0, 5, 6, 3, 4, 3]","[0, 5, 6, 6, 4, 3, 3]",False
13,17,"[0.9145738000006531, 1.665335400000913, 2.1649737000007008, 2.547732000000906, 3.2650907000006555, 3.8479604000003746, 4.415212600000814]","[2, 6, 4, 1, 5, 3, 6]","[2, 6, 4, 1, 5, 3, 1]",False
13,18,"[1.2644327999987581, 1.8813864999992802, 2.281596400000126, 3.281724899999972, 5.964140500000212, 7.964635199999975, 8.59753819999969]","[0, 0, 6, 8, 0, 1, 4]","[0, 6, 6, 8, 1, 6, 0]",False
14,1,"[1.3301480999998603, 2.1144587999997384]","[0, 5]","[0, 5]",True
14,2,"[2.1141487000004417, 2.9310857000000397]","[4, 5]","[4, 5]",True
14,3,"[2.1812462000007145, 2.8807830000005197]","[7, 1]","[7, 1]",True
14,4,"[0.9634006999995108, 1.563671599999907, 2.197235499999806]","[0, 1, 2]","[0, 1, 2]",True
14,5,"[0.7982088999997359, 1.3146245999996609, 1.7645745999998326]","[8, 6, 6]","[8, 6, 6]",True
14,6,"[1.0137070000000676, 1.696945499999856, 2.4311738999995214]","[2, 1, 4]","[2, 1, 4]",True
14,7,"[0.7474856999997428, 1.3635832999998456, 2.0815239999992627, 2.514800599999944]","[6, 1, 7, 7]","[6, 1, 7, 7]",True
14,8,"[0.8804140000002008, 1.7479519000007713, 2.2980452000001605, 3.0479024000005666]","[2, 8, 8, 3]","[2, 8, 8, 3]",True
14,9,"[0.8807398999997531, 1.6644050999993851, 2.3147198999995453, 2.7978469999998197]","[5, 7, 8, 6]","[5, 7, 8, 6]",True
14,10,"[1.397883599999659, 2.3315412000001743, 3.2642738999993526, 4.1646670999998605, 4.865865599999779]","[5, 8, 3, 5, 3]","[5, 8, 3, 5, 3]",True
14,11,"[1.0470753999998124, 1.6143208000003142, 2.430682700000034, 4.164019400000143, 4.914440399999876]","[0, 6, 6, 1, 3]","[0, 6, 1, 1, 3]",False
14,12,"[0.6805882999997266, 1.3483461999994688, 2.0981008999997357, 2.648529000000053, 3.315273100000013]","[0, 7, 5, 5, 8]","[0, 7, 5, 5, 8]",True
14,13,"[0.8972958000003928, 1.7641421999996965, 2.680927899999915, 3.680858100000478, 4.64769299999989, 5.4643965000004755]","[2, 5, 5, 4, 2, 4]","[2, 5, 5, 4, 2, 4]",True
14,14,"[0.9814553999995042, 1.6139028999996299, 2.564912999999251, 3.0983399999995527, 3.6640025999995487, 4.247882499999832]","[8, 2, 4, 8, 0, 5]","[8, 2, 4, 8, 0, 5]",True
14,15,"[0.9483273999994708, 1.7645777999996426, 4.5809392999999545, 5.532070499999463, 6.282417899999928, 8.481842700000016]","[5, 8, 0, 8, 5, 3]","[5, 8, 0, 8, 3, 5]",False
14,16,"[0.9802307999998447, 1.7644302999997308, 2.7971761999997398, 4.281872399999884, 4.865368099999614, 5.548239799999465, 7.715596600000026]","[1, 7, 0, 0, 4, 8, 7]","[1, 7, 0, 4, 8, 7, 7]",False
14,17,"[0.798128700000234, 1.363860299999942, 1.9470448000001852, 2.8143878999999288, 3.714411800000562, 4.264047399999981, 4.7984369000005245]","[5, 1, 0, 4, 4, 3, 0]","[5, 1, 0, 4, 3, 0, 0]",False
14,18,"[2.68074869999964, 3.9145304000003307, 5.597428099999888, 6.615107900000112, 7.431358300000284, 8.047875399999612, 8.865307500000199]","[5, 4, 3, 1, 7, 0, 8]","[3, 5, 0, 7, 3, 1, 6]",False
16,1,"[1.3147485999998025, 2.115541099999973]","[1, 2]","[1, 2]",True
16,2,"[2.3481909000001906, 3.0314439000003404]","[3, 2]","[3, 2]",True
16,3,"[1.2819591999996192, 2.164659699999902]","[5, 1]","[5, 1]",True
16,4,"[1.031579800000145, 1.6981607000006989, 2.4813066000006074]","[0, 0, 1]","[0, 0, 1]",True
16,5,"[1.1002813999994032, 2.098547900000085, 2.7146504000002096]","[4, 7, 0]","[4, 7, 0]",True
16,6,"[1.4479686000004222, 2.3149175000007745, 2.748284600000261]","[0, 1, 1]","[0, 1, 1]",True
16,7,"[0.7983230999998341, 1.6820602999996481, 2.4321546000001035, 3.2485796999999366]","[3, 5, 7, 8]","[3, 5, 7, 8]",True
16,8,"[2.6147854999999254, 3.3645433000001503, 4.131626500000493, 4.7980788000004395]","[2, 0, 5, 2]","[2, 0, 5, 2]",True
16,9,"[1.0643653999995877, 1.814969099999871, 2.6480814999995346, 3.3667601999995895]","[2, 6, 5, 2]","[2, 6, 5, 2]",True
16,10,"[0.8651932000002489, 1.6316210000004503, 2.398305700000492, 3.0813825000004726, 3.7650750000002517]","[4, 5, 1, 2, 2]","[4, 5, 1, 2, 2]",True
16,11,"[2.4984033000000636, 5.049478699999781, 5.765087499999936, 6.6812753000003795, 7.38186080000014]","[5, 2, 8, 2, 7]","[5, 2, 8, 2, 7]",True
16,12,"[0.9813698999996632, 1.8650266999993619, 2.264850099999421, 2.865296699999817, 3.66557019999982]","[1, 3, 3, 6, 8]","[1, 3, 3, 6, 8]",True
16,13,"[2.265086600000359, 6.581290699999954, 7.414951300000212, 7.581702200000109, 9.564882399999988, 10.398347500000455]","[7, 2, 7, 7, 0, 5]","[2, 0, 7, 7, 3, 5]",False
16,14,"[6.381976300000133, 7.048279999999977, 7.715533900000082, 8.348150400000122, 10.931848700000046, 11.58129689999987]","[5, 8, 7, 5, 3, 7]","[7, 5, 8, 3, 7, 1]",False
16,15,"[2.1320002000002205, 2.882064499999615, 4.0153362999999445, 5.28149250000024, 5.864640799999506, 6.281581799999913]","[8, 2, 8, 7, 3, 5]","[8, 7, 8, 3, 2, 5]",False
17,1,"[2.0166244000001825, 2.964748100000179]","[5, 2]","[5, 2]",True
17,2,"[2.2485100999992937, 3.4314078999996127]","[1, 3]","[1, 3]",True
17,3,"[1.1323056000001088, 1.9314515000005485]","[8, 0]","[8, 0]",True
17,4,"[0.8318263999999544, 1.6814520999996603, 2.5155304999998407]","[7, 2, 7]","[7, 2, 7]",True
17,5,"[1.3321592000002056, 1.79893550000088, 2.4649020000006203]","[8, 8, 2]","[8, 8, 2]",True
17,6,"[0.7146841000003405, 1.4670813000002454, 2.964788999999655]","[0, 1, 2]","[0, 1, 2]",True
17,7,"[0.8316044000002876, 1.7149257999999463, 2.5652258999998594, 3.281636499999877]","[3, 1, 8, 5]","[3, 1, 8, 5]",True
17,8,"[0.8150364999992235, 1.6146355999999287, 2.53143799999998, 3.2653991999995924]","[2, 1, 0, 7]","[2, 1, 0, 7]",True
17,9,"[1.364992699999675, 1.997875799999747, 2.2481183999998393, 2.915288799999871]","[5, 0, 0, 5]","[5, 0, 0, 5]",True
17,10,"[1.182161300000189, 1.9817260999998325, 2.8155840999997963, 3.5812065000000075, 4.16484440000022]","[7, 5, 8, 0, 1]","[7, 5, 8, 0, 1]",True
17,11,"[1.697798999999577, 2.3983703000003516, 3.1317834000001312, 4.031617100000403, 4.864550999999665]","[0, 5, 6, 7, 3]","[0, 5, 6, 7, 3]",True
17,12,"[0.7651979000002029, 1.331235900000138, 1.8652650000003632, 2.581747200000791, 3.1316415999999663]","[7, 3, 8, 6, 8]","[7, 3, 8, 6, 8]",True
17,13,"[0.9648579999993672, 1.6649684999993042, 2.331404499999735, 3.033547699999872, 3.6152244999993854, 4.748212099999364]","[3, 1, 2, 6, 1, 5]","[3, 1, 2, 6, 5, 1]",False
17,14,"[1.031113899999582, 1.547947999999451, 2.281975899999452, 3.0482419999998456, 3.665003500000239, 4.2480757000002995]","[0, 3, 7, 4, 7, 1]","[0, 3, 7, 4, 7, 1]",True
17,15,"[0.7314031000005343, 1.415370200000325, 2.080939700000272, 2.598125400000754, 2.9813387000003786, 3.631751100000656]","[4, 2, 0, 2, 2, 6]","[4, 2, 0, 2, 2, 6]",True
17,16,"[0.7830221000003803, 1.3152831999996124, 1.4817064999997456, 2.181498500000089, 2.8979362000000037, 3.5978038000002925, 4.347623200000271]","[6, 8, 8, 5, 2, 4, 0]","[6, 8, 8, 5, 2, 4, 0]",True
17,17,"[0.6655669000001581, 1.181724099999883, 2.4314236999998684, 2.731254999999692, 3.4318653999998787, 4.5477764999996, 5.7154272999996465]","[8, 8, 3, 2, 6, 1, 7]","[8, 3, 2, 2, 6, 1, 1]",False
17,18,"[1.7480752000001303, 2.4986972000006062, 3.3980483000004824, 4.2652539000000615, 5.24794970000039, 5.714809300000525, 6.415019500000199]","[3, 7, 3, 7, 3, 6, 8]","[3, 7, 3, 7, 3, 6, 8]",True
17,19,"[0.598539399999936, 1.331416199999694, 3.465110299999651, 4.0313052000001335, 4.531668800000261, 5.098256199999923, 5.798308700000234, 6.264710499999637]","[6, 4, 0, 8, 0, 3, 5, 5]","[6, 4, 8, 0, 8, 3, 5, 5]",False
17,20,"[0.9479929999997694, 1.414938699999766, 1.6313994000001912, 2.598129699999845, 3.298552700000073, 4.065011200000299, 4.5477868999996645, 4.731400800000301]","[1, 0, 0, 3, 5, 6, 1, 3]","[1, 0, 0, 3, 5, 6, 0, 0]",False
17,21,"[2.664856100000179, 4.748035000000527, 5.5317768000004435, 6.347755499999948, 6.631099900000663, 7.764515900000333, 8.464535400000386, 8.681153300000005]","[4, 2, 7, 5, 7, 0, 1, 3]","[4, 2, 7, 4, 4, 5, 3, 3]",False
23,1,"[2.0648872000001575, 3.0151810999996087]","[0, 4]","[0, 4]",True
23,2,"[1.3314554000007774, 1.9820323000003555]","[1, 7]","[1, 7]",True
23,3,"[1.298321999998734, 2.181723799998508]","[1, 5]","[1, 5]",True
23,4,"[0.6153005000014673, 1.2648060000010446, 1.8821261000011873]","[6, 1, 7]","[6, 1, 7]",True
23,5,"[0.9987932000003639, 1.9150100000006205, 2.5313394000004337]","[7, 1, 2]","[7, 1, 2]",True
23,6,"[0.8475488999993104, 1.6814813000000868, 2.4480170999995607]","[0, 7, 6]","[0, 7, 6]",True
23,7,"[1.3477937999996357, 1.815016000000469, 2.564983000000211, 3.0316017999994074]","[0, 8, 5, 4]","[0, 8, 5, 4]",True
23,8,"[2.4641773000003013, 2.981698300000062, 3.59805150000102, 4.214691299999686]","[8, 0, 6, 2]","[0, 8, 6, 2]",False
23,9,"[1.2984309000003122, 1.7655482000009215, 2.514807000001383, 3.2653927999999723]","[3, 8, 1, 7]","[3, 8, 1, 7]",True
23,10,"[1.1651261000006343, 1.880957600000329, 2.498243800000637, 3.3144045999997616, 3.8485027000006085]","[8, 0, 3, 2, 8]","[8, 0, 3, 2, 8]",True
23,11,"[0.9979946999992535, 1.6311938999988342, 2.2668192000001, 2.8480138999984774, 3.8479473999996117]","[2, 1, 3, 3, 0]","[2, 1, 3, 3, 0]",True
