prID,group,bonus,comments_instructions,comments_other
6017adf7488b8d2ff50ec3a7,MaleRep,1.5,Yes,"Overall i enjoied it, made me care about the results and try hard imagining I was helping a village eat."
60204458e6a42863349abc9f,MaleRep,1.5,"Yes, very clear and simple",Got confused by the colors some times
603039c84bcf02e81ae8a052,MaleRep,1.5,yes,"the screens went by pretty fast, if you missed one count, it pretty much ruined the entire set"
603fa7d057d382087d66d1c2,FemaleRep,0.42,yes,I thought it was very fun and enjoyed it a lot!
604057cd5c4a2726713a9cd6,FemaleDem,1.46,"Yup! At least once I accidentally put the slider all the way in the wrong direction, but that's on me. It's very clear visually, just was sometimes easy to get confused when doing so many in a row.",NA
605382e2d832561748cb07cc,MaleDem,0.66,yes,no
605f9cfad4df69fcebaac11b,MaleRep,1.34,Yes,It got me thinking about the process of taking a data set such as what you presented and creating a pdf of the probabilities of red/blue occurrence.  Seems like an interesting exercise!
605fdb3d6e5f793b3e407d73,FemaleDem,0.66,yes,this got so monotonous after first round - too hectic
6078ad3330815ed0233c5a5d,FemaleRep,1.22,They were mostly clear but made more sense when doing the practice rounds.,N/A Thank you.
607e132f33b82531995d5ad1,FemaleDem,1.14,Yes,It was fine
6080956cb039d0b097c4c595,FemaleRep,0.5,"Yes, however they were a bit lengthy and may have been easier to understand if the story line elements were given first and then the actual instructions on how to play as a bulletpoint",I wish that I could have typed the percentages. The slider was hard to get to go to the exact number I was thinking of
60833c2c9021cf77d24dcd3d,FemaleRep,1.3,yes,it was fun!
6088660deb7b6d025a6271ba,MaleDem,0,yes,"It was interesting to have to estimate for success. The task was easy to understand, and unlike other studies with similar tasks it was not over-long or to repetitive. "
608c63df8b2a15d819de8670,FemaleRep,1.1,yes,yes easy to understand. Got very boring.
608fd801a0aa67efee9fd2e4,MaleRep,0.26,yes,it was very easy but the game session is too long
60924d2524d0bb8d55e9bfb8,FemaleDem,1.22,As crystal!,It took a lot of time to complete.
60a0fab13920337487328605,MaleDem,1.22,somewhat,nothing
60a4a8e35864f6c522233e57,MaleRep,0.98,yes,"it was too fast
"
60a7d7b70d3cf8f48a8a490d,MaleRep,1.5,Yes,Very stressful when I was not able to count the mushrooms because they displayed too fast
60a88f192c981583ff967668,MaleDem,0.06,Yeah,The tasks were easy to answer
60ad566e5703a186a1c9f76c,FemaleDem,1.5,Yes,No
60adc8087dc2b65170f8788b,MaleDem,1.02,yes it was clear.,NA
60add0771be3747b21f5b804,FemaleDem,1.42,Yes,"Everything was easy and went smoothly, it just felt a bit long."
60adf6f18eab41d073fc15f5,MaleDem,1.26,yes,NA
60ae256eb7d66c5f70d02814,MaleDem,1.1,Yes they were,no
60aee0858e96f753f593b729,FemaleDem,0,Yes they were,The tasks were easy to understand.
60aef10b7991f2ad59428dcc,FemaleDem,0.9,yes,NA
